Size,Method,Threads,Time_Sec
256,Tiled,51,0.000156
256,RowMajor,52,0.000102
256,ColMajor,52,0.000492
256,NumpyStrided,52,0.000107
256,Morton,52,0.000305
256,Tiled,52,0.000121
256,RowMajor,53,0.000094
256,ColMajor,53,0.000507
256,NumpyStrided,53,0.000110
256,Morton,53,0.000268
256,Tiled,53,0.000112
256,RowMajor,54,0.000089
256,ColMajor,54,0.000477
256,NumpyStrided,54,0.000109
256,Morton,54,0.000322
256,Tiled,54,0.000142
256,RowMajor,55,0.000091
256,ColMajor,55,0.000466
256,NumpyStrided,55,0.000181
256,Morton,55,0.000338
256,Tiled,55,0.000101
256,RowMajor,56,0.000088
256,ColMajor,56,0.000465
256,NumpyStrided,56,0.000114
256,Morton,56,0.000282
256,Tiled,56,0.000102
256,RowMajor,57,0.000097
256,ColMajor,57,0.000472
256,NumpyStrided,57,0.000108
256,Morton,57,0.000266
256,Tiled,57,0.000122
256,RowMajor,58,0.000089
256,ColMajor,58,0.000459
256,NumpyStrided,58,0.000108
256,Morton,58,0.000270
256,Tiled,58,0.000142
256,RowMajor,59,0.000087
256,ColMajor,59,0.000469
256,NumpyStrided,59,0.000109
256,Morton,59,0.000268
256,Tiled,59,0.000141
256,RowMajor,60,0.000087
256,ColMajor,60,0.000480
256,NumpyStrided,60,0.000108
256,Morton,60,0.000272
256,Tiled,60,0.000107
256,RowMajor,61,0.000141
256,ColMajor,61,0.000521
256,NumpyStrided,61,0.000178
256,Morton,61,0.000423
256,Tiled,61,0.000180
256,RowMajor,62,0.000160
256,ColMajor,62,0.000537
256,NumpyStrided,62,0.000155
256,Morton,62,0.000427
256,Tiled,62,0.000173
256,RowMajor,63,0.000141
256,ColMajor,63,0.000512
256,NumpyStrided,63,0.000155
256,Morton,63,0.000434
256,Tiled,63,0.000188
256,RowMajor,64,0.000146
256,ColMajor,64,0.000524
256,NumpyStrided,64,0.000159
256,Morton,64,0.000412
256,Tiled,64,0.000174
256,RowMajor,65,0.000141
256,ColMajor,65,0.000522
256,NumpyStrided,65,0.000159
256,Morton,65,0.000440
256,Tiled,65,0.000174
256,RowMajor,66,0.000141
256,ColMajor,66,0.000536
